conversation_id,message_id,message_date,agent_id,user_id,message
83,6398,5/12/2022 14:24:00,employee83@testdlp.com,user83@example.org,I am really happy with the service
90,4300,6/17/2022 14:24:00,employee90@testdlp.com,user90@example.org,My updated ssn is 390909090
22,1940,7/21/2022 14:24:00,employee22@testdlp.com,user22@example.org,I am really happy with the service
23,3762,5/3/2022 14:24:00,employee23@testdlp.com,user23@example.org,I am really happy with the service
37,1752,6/18/2022 14:24:00,employee37@testdlp.com,user37@example.org,I am really happy with the service
10,7232,5/1/2022 14:24:00,employee10@testdlp.com,user10@example.org,My updated ssn is 310101010
14,9481,7/17/2022 14:24:00,employee14@testdlp.com,user14@example.org,Yes my current email is user14@example.org
18,56,7/19/2022 14:24:00,employee18@testdlp.com,user18@example.org,I am having trouble connecting...
12,7188,5/19/2022 14:24:00,employee12@testdlp.com,user12@example.org,I am having trouble connecting...
68,7977,6/5/2022 14:24:00,employee68@testdlp.com,user68@example.org,I am really happy with the service
61,6141,7/26/2022 14:24:00,employee61@testdlp.com,user61@example.org,I am really happy with the service
